name,last_season,country_of_birth,date_of_birth,position,foot,height_in_cm,contract_expiration_date,market_value_in_eur,highest_market_value_in_eur
Mario González,2023,Spain,2004-02-05 00:00:00,Midfield,right,174.0,2028-06-30 00:00:00,150000.0,150000.0
Rafael Romero,2023,Spain,2003-08-07 00:00:00,Goalkeeper,left,190.0,2025-06-30 00:00:00,50000.0,50000.0
Dani Rodríguez,2022,Spain,2005-08-09 00:00:00,Attack,left,170.0,2024-06-30 00:00:00,,
Álex Padilla,2024,Spain,2003-09-01 00:00:00,Goalkeeper,right,190.0,2027-06-30 00:00:00,200000.0,200000.0
Unai Egiluz,2023,Spain,2002-03-19 00:00:00,Defender,right,186.0,2025-06-30 00:00:00,100000.0,100000.0
Hugo Rincón,2023,Spain,2003-01-27 00:00:00,Defender,right,183.0,2025-06-30 00:00:00,250000.0,250000.0
Adri Miranda,2023,Spain,2003-04-26 00:00:00,Defender,left,183.0,2025-06-30 00:00:00,100000.0,100000.0
Mateo Joseph,2022,Spain,2003-10-19 00:00:00,Attack,,180.0,2025-06-30 00:00:00,900000.0,900000.0
Unai Gómez,2024,Spain,2003-05-25 00:00:00,Midfield,left,183.0,2028-06-30 00:00:00,6000000.0,6000000.0
Luis Bilbao,2021,Spain,2003-03-24 00:00:00,Attack,left,181.0,2024-06-30 00:00:00,250000.0,250000.0
Javi Guerra,2024,Spain,2003-05-13 00:00:00,Midfield,right,187.0,2027-06-30 00:00:00,20000000.0,20000000.0
Darío Serra,2023,Spain,2003-01-20 00:00:00,Attack,right,180.0,,100000.0,100000.0
Felipe Augusto,2024,Brazil,2004-02-18 00:00:00,Attack,left,187.0,2028-06-30 00:00:00,3000000.0,3000000.0
Thomas Himeur,2023,France,2001-01-17 00:00:00,Goalkeeper,right,192.0,2025-06-30 00:00:00,50000.0,150000.0
Pablo Maldini,2021,Brazil,2000-03-14 00:00:00,Defender,left,186.0,,150000.0,150000.0
Pedro Benito,2021,Spain,2000-03-27 00:00:00,Attack,right,182.0,2023-06-30 00:00:00,300000.0,300000.0
Luiz Felipe Bonetti,2021,Brazil,2002-03-22 00:00:00,Attack,both,184.0,,50000.0,50000.0
James Storer,2021,England,2004-10-04 00:00:00,Goalkeeper,,196.0,,,
Alexandre Pierre,2023,France,2001-02-25 00:00:00,Goalkeeper,right,190.0,2026-06-30 00:00:00,100000.0,150000.0
Sammy Braybrooke,2024,England,2004-03-12 00:00:00,Midfield,right,,2025-05-31 00:00:00,200000.0,250000.0
Malcolm Viltard,2024,France,2002-10-24 00:00:00,Midfield,right,176.0,2027-06-30 00:00:00,400000.0,400000.0
John Joe Patrick Finn,2023,Spain,2003-09-24 00:00:00,Midfield,right,192.0,2025-06-30 00:00:00,200000.0,1000000.0
Enzo Tchato,2024,France,2002-11-23 00:00:00,Defender,right,182.0,2027-06-30 00:00:00,2500000.0,3000000.0
Maxime Estève,2023,France,2002-05-26 00:00:00,Defender,left,193.0,,7000000.0,7000000.0
Matheus Índio,2023,Brazil,1999-08-27 00:00:00,Midfield,right,182.0,2026-12-31 00:00:00,800000.0,800000.0
Sacha Delaye,2023,France,2002-04-23 00:00:00,Midfield,right,171.0,2026-06-30 00:00:00,300000.0,800000.0
Max Alleyne,2023,England,2005-07-21 00:00:00,Defender,both,,2024-06-30 00:00:00,500000.0,500000.0
Marc Pubill,2023,Spain,2003-06-20 00:00:00,Defender,right,190.0,2029-06-30 00:00:00,4000000.0,4000000.0
James McConnell,2023,England,2004-09-13 00:00:00,Midfield,,,,500000.0,500000.0
Kenan Yıldız,2024,Germany,2005-05-04 00:00:00,Attack,both,187.0,2029-06-30 00:00:00,30000000.0,30000000.0
Maxime Bastian,2023,France,2001-05-09 00:00:00,Defender,left,184.0,,600000.0,1200000.0
Tom Lacoux,2023,France,2002-01-25 00:00:00,Midfield,right,182.0,2027-06-30 00:00:00,1500000.0,1800000.0
Adilson Malanda,2020,France,2001-10-29 00:00:00,Defender,right,192.0,2025-12-31 00:00:00,2000000.0,2000000.0
Diego Callai,2024,Brazil,2004-07-18 00:00:00,Goalkeeper,right,190.0,,1000000.0,1000000.0
Jefté,2024,Brazil,2003-12-21 00:00:00,Defender,left,183.0,2028-06-30 00:00:00,800000.0,800000.0
Jack Sanders,2024,England,1999-03-18 00:00:00,Defender,,193.0,2026-05-31 00:00:00,175000.0,175000.0
Shaqai Forde,2021,England,2004-05-05 00:00:00,Attack,right,174.0,2023-05-31 00:00:00,,
Diego García,2024,Spain,2000-04-18 00:00:00,Attack,right,188.0,2027-06-30 00:00:00,2000000.0,2000000.0
Baptiste Gabard,2020,France,2000-01-28 00:00:00,Midfield,,185.0,2023-06-30 00:00:00,250000.0,250000.0
Gustavo Abizanda,2020,Spain,2000-05-01 00:00:00,Attack,,170.0,2023-06-30 00:00:00,25000.0,25000.0
Sekou Yansané,2021,France,2003-04-28 00:00:00,Attack,right,184.0,2027-06-30 00:00:00,450000.0,450000.0
Guille Bueno,2023,Spain,2002-09-18 00:00:00,Defender,left,176.0,2025-06-30 00:00:00,600000.0,600000.0
Étienne Camara,2024,France,2003-03-30 00:00:00,Midfield,left,191.0,2027-06-30 00:00:00,1500000.0,1500000.0
Ferdinand Okoh,2022,England,2004-06-03 00:00:00,Midfield,,,,100000.0,100000.0
Michael Dacosta González,2023,Spain,2005-03-05 00:00:00,Attack,left,186.0,2025-05-31 00:00:00,,
Florent Duparchy,2022,France,2000-06-20 00:00:00,Goalkeeper,right,187.0,,100000.0,100000.0
Justin Lacombe,2024,France,2003-04-09 00:00:00,Goalkeeper,right,192.0,2026-06-30 00:00:00,50000.0,150000.0
Farès Chaïbi,2024,France,2002-11-28 00:00:00,Midfield,right,183.0,2028-06-30 00:00:00,18000000.0,18000000.0
Ryan Bakayoko,2021,France,2002-02-13 00:00:00,Attack,right,192.0,2025-06-30 00:00:00,200000.0,200000.0
Ghjuvanni Quilichini,2022,France,2002-09-01 00:00:00,Goalkeeper,,182.0,2023-06-30 00:00:00,150000.0,200000.0
Yann Batola,2023,France,2004-01-26 00:00:00,Goalkeeper,right,,,,
Skelly Alvero,2024,France,2002-05-04 00:00:00,Midfield,right,202.0,2028-06-30 00:00:00,4000000.0,4000000.0
Léo Jousselin,2023,France,2002-01-02 00:00:00,Defender,right,,2026-06-30 00:00:00,50000.0,50000.0
Mohamed Achi,2023,France,2002-01-16 00:00:00,Midfield,left,181.0,2027-06-30 00:00:00,200000.0,400000.0
Guédé Nadje,2024,France,2003-11-12 00:00:00,Attack,right,184.0,2026-06-30 00:00:00,50000.0,200000.0
Ange Loïc N’Gatta,2024,France,2003-12-11 00:00:00,Defender,right,181.0,2025-06-30 00:00:00,150000.0,150000.0
Seb Palmer-Houlden,2024,England,2004-05-12 00:00:00,Attack,,,2025-05-31 00:00:00,125000.0,125000.0
Arthur Atta,2024,France,2003-01-14 00:00:00,Midfield,right,189.0,2025-06-30 00:00:00,1000000.0,1000000.0
Jenson Metcalfe,2023,England,2004-09-06 00:00:00,Midfield,right,183.0,2026-06-30 00:00:00,150000.0,150000.0
Carlos Giménez,2021,Spain,2003-02-18 00:00:00,Defender,right,182.0,2024-06-30 00:00:00,150000.0,150000.0
Carlos Benítez,2021,Spain,2002-11-25 00:00:00,Midfield,right,175.0,2024-06-30 00:00:00,150000.0,150000.0
Mamadou Camara,2021,France,2001-02-07 00:00:00,Attack,right,184.0,2025-06-30 00:00:00,500000.0,500000.0
Alexis Lefebvre,2022,France,2003-05-21 00:00:00,Attack,right,166.0,2024-06-30 00:00:00,250000.0,250000.0
Baïla Diallo,2022,France,2001-06-24 00:00:00,Defender,left,176.0,2024-06-30 00:00:00,200000.0,400000.0
Ted Curd,2023,England,2006-02-14 00:00:00,Goalkeeper,right,190.0,,150000.0,150000.0
David Torres,2024,Spain,2003-03-05 00:00:00,Defender,left,182.0,2026-06-30 00:00:00,1000000.0,1000000.0
Louis Jackson,2023,England,2005-09-18 00:00:00,Defender,,,,,
Pedro Henrique,2024,Brazil,2002-07-11 00:00:00,Defender,left,177.0,2028-06-30 00:00:00,1000000.0,1000000.0
Serkan Kenter,2021,France,1999-04-22 00:00:00,Attack,right,171.0,,25000.0,25000.0
Oucasse Mendy,2020,France,2001-06-01 00:00:00,Attack,left,182.0,,150000.0,150000.0
Ashley Phillips,2023,England,2005-06-26 00:00:00,Defender,right,196.0,2025-05-31 00:00:00,2200000.0,3000000.0
Ayoub Amraoui,2023,France,2004-05-14 00:00:00,Defender,left,184.0,2025-06-30 00:00:00,1500000.0,2500000.0
Aïman Maurer,2023,France,2004-09-25 00:00:00,Midfield,right,173.0,2025-06-30 00:00:00,500000.0,800000.0
Abde Raihani,2023,Spain,2004-02-03 00:00:00,Attack,right,187.0,2027-06-30 00:00:00,300000.0,300000.0
Mohamed Aggoun,2021,France,2002-02-21 00:00:00,Defender,right,182.0,,100000.0,100000.0
Julien Lomboto,2023,France,2002-05-13 00:00:00,Defender,right,192.0,2025-06-30 00:00:00,200000.0,200000.0
Ronald,2023,Brazil,2001-06-14 00:00:00,Attack,right,177.0,2027-06-30 00:00:00,1800000.0,1800000.0
Marvin Elimbi,2024,France,2003-02-20 00:00:00,Defender,right,186.0,2028-06-30 00:00:00,750000.0,750000.0
Mahamadou Doucouré,2020,France,2000-05-22 00:00:00,Attack,right,181.0,2024-06-30 00:00:00,100000.0,400000.0
Josué Escartin,2023,France,2003-03-21 00:00:00,Defender,right,193.0,,150000.0,250000.0
Nathan Fraser,2023,England,2005-02-22 00:00:00,Attack,right,188.0,2025-06-30 00:00:00,1000000.0,1000000.0
Habeeb Ogunneye,2023,England,2005-11-12 00:00:00,Defender,right,,,200000.0,200000.0
Stefan Bajcetic,2023,Spain,2004-10-22 00:00:00,Midfield,right,185.0,2027-06-30 00:00:00,11000000.0,13000000.0
David Ozoh,2023,Spain,2005-05-06 00:00:00,Midfield,,,2025-05-31 00:00:00,700000.0,700000.0
Luke Gauer,2023,Germany,2005-05-28 00:00:00,Goalkeeper,right,190.0,2026-06-30 00:00:00,100000.0,100000.0
Ronaldo,2024,Brazil,2000-12-07 00:00:00,Attack,right,177.0,2028-06-30 00:00:00,3500000.0,3500000.0
Tom Negrel,2024,France,2003-04-13 00:00:00,Goalkeeper,right,192.0,2026-06-30 00:00:00,50000.0,50000.0
Nacho Ferri,2024,Spain,2004-10-05 00:00:00,Attack,right,192.0,2025-06-30 00:00:00,2000000.0,3000000.0
