name,last_season,country_of_birth,date_of_birth,position,foot,height_in_cm,contract_expiration_date,market_value_in_eur,highest_market_value_in_eur
Hasan Kaya,2019,Germany,1995-11-10 00:00:00,Attack,right,,2023-06-30 00:00:00,50000.0,250000.0
Cyriack Garel,2015,France,1996-07-13 00:00:00,Goalkeeper,right,183.0,,100000.0,100000.0
Caju,2020,Brazil,1995-07-17 00:00:00,Defender,left,183.0,2024-05-31 00:00:00,600000.0,1000000.0
Didier Desprez,2021,France,1999-03-13 00:00:00,Goalkeeper,right,190.0,2023-06-30 00:00:00,125000.0,300000.0
Enzo Ebosse,2024,France,1999-03-11 00:00:00,Defender,left,185.0,2027-06-30 00:00:00,2500000.0,4500000.0
Yassin Fortuné,2023,France,1999-01-30 00:00:00,Attack,right,186.0,2026-06-30 00:00:00,400000.0,500000.0
Dennis Smarsch,2019,Germany,1999-01-14 00:00:00,Goalkeeper,both,195.0,2023-06-30 00:00:00,175000.0,400000.0
Jan-Niklas Beste,2024,Germany,1999-01-04 00:00:00,Defender,left,175.0,2029-06-30 00:00:00,15000000.0,15000000.0
Hüseyin Bulut,2019,Germany,1999-03-29 00:00:00,Attack,right,176.0,2023-06-30 00:00:00,100000.0,100000.0
Nicolas Pépé,2024,France,1995-05-29 00:00:00,Attack,left,183.0,2026-06-30 00:00:00,8500000.0,75000000.0
Malik Karaahmet,2018,Germany,2000-01-18 00:00:00,Attack,right,180.0,2023-06-30 00:00:00,25000.0,125000.0
Joni Montiel,2024,Spain,1998-09-03 00:00:00,Midfield,left,173.0,2025-06-30 00:00:00,1200000.0,2000000.0
Stefano Russo,2019,Germany,2000-06-29 00:00:00,Midfield,right,184.0,2023-06-30 00:00:00,250000.0,250000.0
Fiete Arp,2024,Germany,2000-01-06 00:00:00,Attack,right,186.0,2026-06-30 00:00:00,800000.0,7500000.0
Ben Godfrey,2024,England,1998-01-15 00:00:00,Defender,right,184.0,2029-06-30 00:00:00,10000000.0,25000000.0
Bruno Paulista,2016,Brazil,1995-08-21 00:00:00,Midfield,left,192.0,,200000.0,2000000.0
Ryan Leak,2024,England,1998-02-28 00:00:00,Defender,left,191.0,2025-05-31 00:00:00,300000.0,300000.0
Ben Woodburn,2021,England,1999-10-15 00:00:00,Midfield,right,174.0,2023-06-30 00:00:00,1000000.0,5000000.0
Anton Stach,2024,Germany,1998-11-15 00:00:00,Midfield,both,194.0,2027-06-30 00:00:00,15000000.0,15000000.0
Kelvin Amian,2024,France,1998-02-08 00:00:00,Defender,right,180.0,2028-06-30 00:00:00,2500000.0,7000000.0
Bilal Boutobba,2024,France,1998-08-29 00:00:00,Attack,left,172.0,2026-06-30 00:00:00,1800000.0,2500000.0
Maxime Pélican,2018,France,1998-05-12 00:00:00,Attack,left,176.0,,,
Christopher Nkunku,2024,France,1997-11-14 00:00:00,Midfield,right,177.0,2029-06-30 00:00:00,65000000.0,80000000.0
Danny Johnson,2019,England,1993-02-28 00:00:00,Attack,left,178.0,2023-06-30 00:00:00,150000.0,300000.0
Antonin Bobichon,2022,France,1995-09-14 00:00:00,Midfield,right,178.0,2024-06-30 00:00:00,700000.0,5000000.0
Gaëtan Poussin,2021,France,1999-01-13 00:00:00,Goalkeeper,right,186.0,2025-06-30 00:00:00,1500000.0,1800000.0
Thomas Basila,2020,France,1999-04-30 00:00:00,Defender,right,187.0,2023-06-30 00:00:00,300000.0,2000000.0
Aurélien Nguiamba,2022,France,1999-01-18 00:00:00,Midfield,left,179.0,2024-06-30 00:00:00,300000.0,500000.0
Malang Sarr,2024,France,1999-01-23 00:00:00,Defender,left,183.0,2026-06-30 00:00:00,4000000.0,18000000.0
Dan-Axel Zagadou,2024,France,1999-06-03 00:00:00,Defender,left,196.0,2026-06-30 00:00:00,10000000.0,35000000.0
Yassine Benrahou,2020,France,1999-01-24 00:00:00,Midfield,left,172.0,2026-05-31 00:00:00,3000000.0,4000000.0
Michaël Cuisance,2022,France,1999-08-16 00:00:00,Midfield,left,181.0,2025-06-30 00:00:00,2000000.0,12000000.0
Boubakary Soumaré,2024,France,1999-02-27 00:00:00,Midfield,right,188.0,2026-06-30 00:00:00,14000000.0,28000000.0
Benjamin Vérité,2017,France,1999-04-21 00:00:00,Defender,right,176.0,,100000.0,100000.0
Nabil Alioui,2024,France,1999-02-18 00:00:00,Attack,right,175.0,2026-06-30 00:00:00,3200000.0,4000000.0
Hicham Mahou,2020,France,1999-07-02 00:00:00,Attack,right,180.0,2026-06-30 00:00:00,700000.0,800000.0
Rafael Silva,2012,Brazil,1990-10-08 00:00:00,Attack,right,182.0,2024-07-01 00:00:00,200000.0,1000000.0
Dayot Upamecano,2024,France,1998-10-27 00:00:00,Defender,right,186.0,2026-06-30 00:00:00,45000000.0,60000000.0
Jean-Kévin Duverne,2024,France,1997-07-12 00:00:00,Defender,right,186.0,2027-06-30 00:00:00,3500000.0,4000000.0
Simon Banza,2024,France,1996-08-13 00:00:00,Attack,right,189.0,2025-06-30 00:00:00,18000000.0,18000000.0
Ivan Inzoudine,2016,France,1996-12-10 00:00:00,Defender,left,175.0,,10000.0,50000.0
Matthieu Udol,2023,France,1996-03-20 00:00:00,Defender,left,178.0,2027-06-30 00:00:00,2500000.0,3500000.0
Gauthier Hein,2022,France,1996-08-07 00:00:00,Attack,left,170.0,2025-06-30 00:00:00,2500000.0,3000000.0
João Teixeira,2019,France,1996-05-07 00:00:00,Midfield,right,182.0,,10000.0,350000.0
Rory Watson,2014,England,1996-02-05 00:00:00,Goalkeeper,,190.0,2023-05-31 00:00:00,50000.0,50000.0
Murilo de Souza,2023,Brazil,1994-10-31 00:00:00,Attack,left,177.0,2026-01-31 00:00:00,1200000.0,1500000.0
Abdullah Karakoc,2014,Germany,,Defender,,,,50000.0,100000.0
Álex Martín,2020,Spain,1998-01-25 00:00:00,Defender,right,183.0,2023-06-30 00:00:00,800000.0,800000.0
Jorge,2019,Brazil,1996-03-28 00:00:00,Defender,left,184.0,2023-12-31 00:00:00,1100000.0,15000000.0
Fabien Garcia,2014,France,1994-07-14 00:00:00,Defender,right,181.0,2023-11-30 00:00:00,275000.0,500000.0
Vato Arveladze,2021,Germany,1998-03-04 00:00:00,Midfield,both,184.0,2023-06-30 00:00:00,100000.0,650000.0
Steve Shamal,2014,France,1996-02-22 00:00:00,Attack,right,182.0,,400000.0,450000.0
Connor Johnson,2019,England,1998-03-10 00:00:00,Defender,right,186.0,2023-06-30 00:00:00,50000.0,50000.0
Nicolas Careca,2018,Brazil,1997-05-18 00:00:00,Attack,right,188.0,2023-11-30 00:00:00,150000.0,500000.0
Didier Bouanga,2014,France,1995-12-14 00:00:00,Attack,right,178.0,,,
Joe Bell,2023,England,1999-04-27 00:00:00,Midfield,right,182.0,2027-12-31 00:00:00,1200000.0,1500000.0
Shayon Harrison,2016,England,1997-07-13 00:00:00,Attack,left,183.0,,300000.0,350000.0
Jamie Barjonas,2020,England,1999-01-24 00:00:00,Midfield,right,180.0,2023-05-31 00:00:00,25000.0,25000.0
Duckens Nazon,2024,France,1994-04-07 00:00:00,Attack,right,181.0,2026-06-30 00:00:00,1600000.0,1600000.0
Lukas Mai,2019,Germany,2000-03-31 00:00:00,Defender,right,188.0,2025-06-30 00:00:00,2200000.0,2500000.0
Erik,2019,Brazil,1995-02-02 00:00:00,Midfield,right,171.0,,300000.0,450000.0
Dion Henry,2018,England,1997-09-12 00:00:00,Goalkeeper,,192.0,2023-06-30 00:00:00,50000.0,50000.0
Alex Pike,2016,England,1997-02-08 00:00:00,Defender,right,180.0,,,
Jamal Lewis,2023,England,1998-01-25 00:00:00,Defender,left,178.0,2025-06-30 00:00:00,3500000.0,17000000.0
Aaron Simpson,2017,England,1997-03-07 00:00:00,Defender,right,172.0,,50000.0,50000.0
Mouctar Diakhaby,2024,France,1996-12-19 00:00:00,Defender,right,192.0,2027-06-30 00:00:00,2000000.0,30000000.0
Maxime D'Arpino,2022,France,1996-06-17 00:00:00,Midfield,right,175.0,2026-06-30 00:00:00,500000.0,2500000.0
James Léa Siliki,2022,France,1996-06-12 00:00:00,Midfield,left,183.0,2025-06-30 00:00:00,900000.0,6500000.0
Dujon Sterling,2024,England,1999-10-24 00:00:00,Defender,right,186.0,2027-05-31 00:00:00,4000000.0,4000000.0
Georgios Siadas,2018,Germany,1999-12-27 00:00:00,Defender,left,180.0,,75000.0,200000.0
Nassim Boujellab,2022,Germany,1999-06-20 00:00:00,Midfield,both,182.0,2025-06-30 00:00:00,400000.0,1500000.0
Jordan Williams,2017,England,1999-10-22 00:00:00,Defender,right,179.0,2024-06-30 00:00:00,1000000.0,1000000.0
Jaden Brown,2024,England,1999-01-24 00:00:00,Defender,left,175.0,2026-06-30 00:00:00,200000.0,750000.0
Tom Dele-Bashiru,2021,England,1999-09-17 00:00:00,Midfield,right,178.0,2025-06-30 00:00:00,1500000.0,2500000.0
Japhet Tanganga,2023,England,1999-03-31 00:00:00,Defender,right,184.0,,1800000.0,15000000.0
Mason Mount,2024,England,1999-01-10 00:00:00,Midfield,right,181.0,2028-06-30 00:00:00,35000000.0,75000000.0
Odin Bailey,2021,England,1999-12-08 00:00:00,Midfield,left,178.0,2024-06-30 00:00:00,250000.0,275000.0
Dario Vittorio Meadows,2017,England,1999-01-28 00:00:00,Midfield,right,,,75000.0,75000.0
Sean Longstaff,2024,England,1997-10-30 00:00:00,Midfield,right,187.0,2025-06-30 00:00:00,25000000.0,25000000.0
Guilherme Arana,2019,Brazil,1997-04-14 00:00:00,Defender,left,176.0,2024-12-31 00:00:00,10000000.0,14000000.0
Gustavo Tocantins,2017,Brazil,1996-01-11 00:00:00,Attack,both,179.0,,250000.0,500000.0
Ché Adams,2024,England,1996-07-13 00:00:00,Attack,right,179.0,2027-06-30 00:00:00,15000000.0,22000000.0
Marcel,2018,Brazil,1992-10-16 00:00:00,Midfield,right,189.0,,50000.0,300000.0
Paulinho,2015,Brazil,1993-01-07 00:00:00,Midfield,,173.0,,50000.0,250000.0
Leandro Vilela,2019,Brazil,1995-06-29 00:00:00,Midfield,right,177.0,2023-11-30 00:00:00,250000.0,400000.0
Jonathan Cafu,2019,Brazil,1991-07-10 00:00:00,Attack,right,175.0,2023-12-31 00:00:00,450000.0,10000000.0
Suéliton,2017,Brazil,1991-06-26 00:00:00,Defender,right,184.0,,100000.0,500000.0
Adam Lewis,2021,England,1999-11-08 00:00:00,Defender,left,175.0,2023-05-31 00:00:00,300000.0,500000.0
Florian Miguel,2023,France,1996-09-01 00:00:00,Defender,left,179.0,2026-06-30 00:00:00,1000000.0,2000000.0
Clément Depres,2020,France,1994-11-25 00:00:00,Attack,right,188.0,2024-06-30 00:00:00,400000.0,1500000.0
Dominik Bilogrevic,2019,Germany,1999-01-02 00:00:00,Midfield,both,190.0,2023-06-30 00:00:00,50000.0,75000.0
Ryan Sweeney,2021,England,1997-04-15 00:00:00,Defender,left,193.0,2023-05-31 00:00:00,375000.0,400000.0
Mateus Anderson,2018,Brazil,1994-03-06 00:00:00,Attack,right,170.0,,200000.0,200000.0
Cole Kpekawa,2018,England,1996-05-20 00:00:00,Defender,left,191.0,2023-06-30 00:00:00,100000.0,450000.0
Luan Peres,2023,Brazil,1994-07-19 00:00:00,Defender,left,190.0,2025-06-30 00:00:00,1300000.0,7000000.0
Steeven Harrison,2014,France,1992-12-13 00:00:00,Midfield,left,181.0,,,
Nordi Mukiele,2024,France,1997-11-01 00:00:00,Defender,right,187.0,2025-06-30 00:00:00,10000000.0,25000000.0
Kevin Goden,2018,Germany,1999-02-22 00:00:00,Attack,right,183.0,2023-06-30 00:00:00,125000.0,700000.0
Iago Maidana,2021,Brazil,1996-02-06 00:00:00,Defender,right,195.0,2023-12-31 00:00:00,2000000.0,2500000.0
Bruno Ramires,2020,Brazil,1994-03-18 00:00:00,Midfield,right,190.0,2023-05-31 00:00:00,375000.0,750000.0
Cazim Suljic,2017,France,1996-10-29 00:00:00,Midfield,right,178.0,2024-06-30 00:00:00,200000.0,300000.0
Álex García,2016,Spain,1994-02-07 00:00:00,Defender,right,192.0,,300000.0,300000.0
Pablo Clavería,2015,Spain,1996-04-01 00:00:00,Midfield,right,175.0,2024-06-30 00:00:00,300000.0,700000.0
Mason Holgate,2023,England,1996-10-22 00:00:00,Defender,right,187.0,2025-06-30 00:00:00,5000000.0,20000000.0
Marcelo Hermes,2020,Brazil,1995-02-01 00:00:00,Defender,left,177.0,2023-12-31 00:00:00,450000.0,750000.0
Niclas Thiede,2023,Germany,1999-04-14 00:00:00,Goalkeeper,both,186.0,2026-06-30 00:00:00,350000.0,350000.0
Mateus Pasinato,2021,Brazil,1992-06-28 00:00:00,Goalkeeper,right,192.0,2024-12-31 00:00:00,350000.0,1000000.0
Fabian Nürnberger,2023,Germany,1999-07-28 00:00:00,Midfield,left,181.0,2026-06-30 00:00:00,2500000.0,2500000.0
Ricardo Ryller,2018,Brazil,1994-02-27 00:00:00,Midfield,right,184.0,,900000.0,1500000.0
Conor Chaplin,2024,England,1997-02-16 00:00:00,Attack,left,168.0,2026-06-30 00:00:00,7000000.0,7000000.0
Neris,2019,Brazil,1992-06-17 00:00:00,Defender,right,192.0,2024-12-31 00:00:00,700000.0,2000000.0
Benjamin Hadzic,2018,Germany,1999-03-04 00:00:00,Attack,right,185.0,2023-06-30 00:00:00,125000.0,200000.0
Nico Mantl,2024,Germany,2000-02-06 00:00:00,Goalkeeper,right,193.0,2028-06-30 00:00:00,1200000.0,1500000.0
Wellington Luís,2019,Brazil,1995-01-04 00:00:00,Goalkeeper,right,185.0,,100000.0,100000.0
Ayrton Lucas,2021,Brazil,1997-06-19 00:00:00,Defender,left,180.0,2027-12-31 00:00:00,9000000.0,9000000.0
Renan Diniz,2016,Brazil,1993-02-27 00:00:00,Defender,left,187.0,,100000.0,500000.0
Antonee Robinson,2024,England,1997-08-08 00:00:00,Defender,left,183.0,2028-06-30 00:00:00,25000000.0,25000000.0
Arthur Henrique,2019,Brazil,1994-05-17 00:00:00,Defender,left,176.0,2023-11-30 00:00:00,500000.0,600000.0
Luan,2021,Brazil,1996-05-31 00:00:00,Defender,right,186.0,2023-06-30 00:00:00,300000.0,700000.0
Jean,2021,Brazil,1994-09-26 00:00:00,Midfield,right,183.0,2023-12-31 00:00:00,400000.0,1500000.0
Diego González,2022,Spain,1995-01-28 00:00:00,Defender,right,185.0,2024-06-30 00:00:00,1200000.0,2000000.0
Son,2021,Spain,1994-03-30 00:00:00,Defender,right,178.0,2024-06-30 00:00:00,1000000.0,1000000.0
Juan Hernández,2019,Spain,1994-12-06 00:00:00,Attack,left,177.0,2023-06-30 00:00:00,400000.0,1000000.0
Dudu Lima,2017,Brazil,1989-03-14 00:00:00,Midfield,right,174.0,,200000.0,250000.0
Bruno Lamas,2019,Brazil,1994-04-13 00:00:00,Midfield,left,177.0,,550000.0,800000.0
Ian Pereira,2015,Brazil,1996-11-05 00:00:00,Defender,right,173.0,,50000.0,50000.0
Douglas Abner,2016,Brazil,1996-01-30 00:00:00,Midfield,right,175.0,,50000.0,150000.0
Fabián Ruiz,2024,Spain,1996-04-03 00:00:00,Midfield,left,189.0,2027-06-30 00:00:00,35000000.0,60000000.0
Joan Sastre,2024,Spain,1997-04-30 00:00:00,Defender,right,174.0,2026-06-30 00:00:00,1500000.0,2000000.0
Rafael Furlan,2017,Brazil,1994-09-20 00:00:00,Defender,left,177.0,,150000.0,450000.0
Markus Fjörtoft,2020,England,1994-01-12 00:00:00,Defender,right,191.0,,200000.0,200000.0
Manel Royo,2024,Spain,1994-02-28 00:00:00,Defender,left,184.0,2025-06-30 00:00:00,350000.0,400000.0
Rashad Muhammed,2020,France,1993-09-25 00:00:00,Attack,right,184.0,2024-06-30 00:00:00,200000.0,500000.0
Mikel Oyarzabal,2024,Spain,1997-04-21 00:00:00,Attack,left,181.0,2028-06-30 00:00:00,45000000.0,70000000.0
José Fran,2014,Spain,1992-06-01 00:00:00,Attack,left,177.0,2023-06-30 00:00:00,150000.0,500000.0
Sam Cosgrove,2020,England,1996-12-02 00:00:00,Attack,right,194.0,2023-05-31 00:00:00,900000.0,1500000.0
Lincoln,2023,Brazil,1998-11-07 00:00:00,Midfield,left,178.0,2024-12-31 00:00:00,3500000.0,6000000.0
Rafa Navarro,2019,Spain,1994-02-24 00:00:00,Defender,right,173.0,2023-06-30 00:00:00,150000.0,1500000.0
Kalvin Phillips,2024,England,1995-12-02 00:00:00,Midfield,right,179.0,2025-06-30 00:00:00,25000000.0,50000000.0
Léo Natel,2022,Brazil,1997-03-14 00:00:00,Attack,right,179.0,2024-12-31 00:00:00,300000.0,1400000.0
Darnell Furlong,2020,England,1995-10-31 00:00:00,Defender,right,183.0,2025-06-30 00:00:00,3500000.0,5000000.0
Robin Le Normand,2024,France,1996-11-11 00:00:00,Defender,right,187.0,2029-06-30 00:00:00,40000000.0,40000000.0
Ismaël Bennacer,2024,France,1997-12-01 00:00:00,Midfield,left,175.0,2027-06-30 00:00:00,30000000.0,40000000.0
Elohim Rolland,2019,France,1989-03-03 00:00:00,Midfield,both,184.0,,250000.0,1000000.0
Yoann Salmier,2024,France,1992-11-21 00:00:00,Defender,right,188.0,2025-06-30 00:00:00,1500000.0,2000000.0
Matheus Fernandes,2020,Brazil,1998-06-30 00:00:00,Midfield,right,183.0,2023-12-31 00:00:00,1500000.0,4000000.0
Léo Santos,2024,Brazil,1998-12-09 00:00:00,Defender,right,186.0,2027-06-30 00:00:00,900000.0,6000000.0
Leandrinho,2019,Brazil,1998-10-11 00:00:00,Attack,right,174.0,2023-12-31 00:00:00,300000.0,750000.0
Faïz Selemani,2022,France,1993-11-14 00:00:00,Attack,right,182.0,2025-06-30 00:00:00,2500000.0,3500000.0
Lucas Perri,2024,Brazil,1997-12-10 00:00:00,Goalkeeper,right,197.0,2028-06-30 00:00:00,6000000.0,8000000.0
Jermaine Hylton,2020,England,1993-06-28 00:00:00,Attack,right,176.0,2023-06-30 00:00:00,50000.0,500000.0
Florian Le Joncour,2023,France,1995-02-03 00:00:00,Defender,left,193.0,2025-06-30 00:00:00,600000.0,600000.0
Lucas Perrin,2023,France,1998-11-19 00:00:00,Defender,right,188.0,2025-06-30 00:00:00,3000000.0,5000000.0
Christopher Rocchia,2020,France,1998-02-01 00:00:00,Defender,left,172.0,2023-06-30 00:00:00,500000.0,1000000.0
Stéphane Serbourdin,2015,Spain,1995-05-18 00:00:00,Defender,,185.0,2023-06-30 00:00:00,50000.0,100000.0
Bruno Henrique,2016,Brazil,1990-12-30 00:00:00,Attack,right,184.0,2023-12-31 00:00:00,2500000.0,6500000.0
Nathan Harker,2018,England,1998-11-05 00:00:00,Goalkeeper,left,193.0,,,
Dennis Adeniran,2024,England,1999-01-02 00:00:00,Midfield,right,180.0,2025-05-31 00:00:00,200000.0,700000.0
Alioun Fall,2014,France,1990-12-20 00:00:00,Defender,right,170.0,,150000.0,200000.0
Hamadou Karamoko,2015,France,1995-10-31 00:00:00,Defender,right,194.0,2024-06-30 00:00:00,225000.0,350000.0
Benjamin Pavard,2024,France,1996-03-28 00:00:00,Defender,right,186.0,2028-06-30 00:00:00,50000000.0,50000000.0
Killian Le Roy,2017,France,1998-01-31 00:00:00,Goalkeeper,right,193.0,,25000.0,200000.0
Sullivan Martinet,2016,France,1996-07-01 00:00:00,Attack,right,174.0,2023-06-30 00:00:00,50000.0,50000.0
Jordy Gaspar,2016,France,1997-04-23 00:00:00,Defender,right,172.0,2023-06-30 00:00:00,900000.0,1000000.0
Dylan Mboumbouni,2017,France,1996-02-20 00:00:00,Defender,right,182.0,,50000.0,300000.0
Romain Del Castillo,2024,France,1996-03-29 00:00:00,Attack,left,172.0,2027-06-30 00:00:00,10000000.0,10000000.0
Samuel Moutoussamy,2024,France,1996-08-12 00:00:00,Midfield,left,176.0,2026-06-30 00:00:00,3000000.0,5000000.0
Gaëtan Perrin,2024,France,1996-06-07 00:00:00,Attack,right,169.0,2026-06-30 00:00:00,3000000.0,3000000.0
Ravy Tsouka,2022,France,1994-12-23 00:00:00,Defender,right,181.0,2024-06-30 00:00:00,400000.0,500000.0
Yilmaz Daler,2019,Germany,1999-05-30 00:00:00,Midfield,both,184.0,2023-06-30 00:00:00,25000.0,75000.0
Keshi Anderson,2017,England,1995-04-06 00:00:00,Attack,right,175.0,2023-06-30 00:00:00,300000.0,600000.0
Julien Benhaim,2016,France,1996-10-25 00:00:00,Midfield,left,175.0,,300000.0,300000.0
Sacha Valéry,2014,France,1995-08-24 00:00:00,Midfield,,176.0,,,
Yannis Lamgahez,2014,France,1997-03-11 00:00:00,Defender,right,189.0,2023-08-01 00:00:00,25000.0,25000.0
Edgar Alexandre,2015,France,1996-11-24 00:00:00,Defender,right,176.0,,,
Lucas Tousart,2024,France,1997-04-29 00:00:00,Midfield,right,184.0,,7000000.0,25000000.0
Joe Powell,2018,England,1998-10-30 00:00:00,Midfield,left,,2024-06-30 00:00:00,500000.0,500000.0
Hakim El Mokeddem,2018,France,1999-02-15 00:00:00,Midfield,left,170.0,,250000.0,300000.0
Djibril Diani,2020,France,1998-02-11 00:00:00,Midfield,left,195.0,2024-06-30 00:00:00,500000.0,800000.0
Frédéric Guilbert,2024,France,1994-12-24 00:00:00,Defender,right,178.0,2026-06-30 00:00:00,4000000.0,9000000.0
Julen López,2017,Spain,1995-07-20 00:00:00,Defender,left,187.0,2023-06-30 00:00:00,150000.0,300000.0
Stephen Humphrys,2022,England,1997-09-15 00:00:00,Attack,right,184.0,2024-06-30 00:00:00,500000.0,700000.0
Tachi,2021,Spain,1997-09-10 00:00:00,Midfield,right,184.0,2024-06-30 00:00:00,400000.0,1000000.0
David Milinkovic,2017,France,1994-05-20 00:00:00,Defender,right,180.0,,125000.0,400000.0
Florian Sotoca,2024,France,1990-10-25 00:00:00,Attack,right,187.0,2026-06-30 00:00:00,3000000.0,4000000.0
Loren Morón,2024,Spain,1993-12-30 00:00:00,Attack,right,185.0,2025-06-30 00:00:00,3000000.0,20000000.0
Pepe Castaño,2024,Spain,1998-12-10 00:00:00,Defender,right,185.0,2026-06-30 00:00:00,800000.0,800000.0
Axel Bakayoko,2018,France,1998-01-06 00:00:00,Attack,right,179.0,2023-12-31 00:00:00,250000.0,1750000.0
Adrián Diéguez,2018,Spain,1996-02-04 00:00:00,Defender,left,188.0,2024-06-30 00:00:00,600000.0,800000.0
Josete Miranda,2020,Spain,1998-07-22 00:00:00,Attack,right,170.0,2024-06-30 00:00:00,300000.0,300000.0
Vagner Gonçalves,2020,Brazil,1996-04-27 00:00:00,Attack,left,174.0,2024-12-31 00:00:00,275000.0,750000.0
Djibril Dianessy,2019,France,1996-03-29 00:00:00,Attack,right,182.0,2024-12-31 00:00:00,300000.0,500000.0
Dylan Saint-Louis,2023,France,1995-04-26 00:00:00,Attack,right,184.0,,500000.0,2500000.0
Víctor Pastrana,2017,Spain,1996-09-27 00:00:00,Attack,left,180.0,2023-06-30 00:00:00,300000.0,400000.0
Gleison Moreira,2016,Brazil,1995-06-23 00:00:00,Attack,left,174.0,,275000.0,700000.0
Luis Muñoz,2016,Spain,1997-02-23 00:00:00,Midfield,right,182.0,2025-06-30 00:00:00,1200000.0,2000000.0
Sergio Akieme,2024,Spain,1997-12-16 00:00:00,Defender,left,175.0,2028-06-30 00:00:00,7000000.0,9000000.0
Igor Zubeldia,2024,Spain,1997-03-30 00:00:00,Defender,right,181.0,2029-06-30 00:00:00,22000000.0,30000000.0
David Mayoral,2018,Spain,1997-04-05 00:00:00,Attack,both,172.0,,100000.0,400000.0
Mounir Chouiar,2022,France,1999-01-23 00:00:00,Attack,right,177.0,2025-06-30 00:00:00,3200000.0,9000000.0
Dapo Kayode,2016,England,1992-09-30 00:00:00,Defender,right,181.0,,75000.0,75000.0
Greg Luer,2016,England,1994-12-06 00:00:00,Attack,,180.0,2023-06-30 00:00:00,250000.0,250000.0
Iago Indias,2018,Spain,1996-01-03 00:00:00,Defender,right,181.0,2023-06-30 00:00:00,250000.0,250000.0
Alfonso Pedraza,2024,Spain,1996-04-09 00:00:00,Defender,left,184.0,2026-06-30 00:00:00,5000000.0,22000000.0
Joe Wright,2024,England,1995-02-26 00:00:00,Defender,right,193.0,2025-05-31 00:00:00,350000.0,375000.0
Michel Stöcker,2019,Germany,1999-04-14 00:00:00,Defender,left,187.0,2024-06-30 00:00:00,175000.0,175000.0
Borja González,2024,Spain,1995-11-17 00:00:00,Defender,right,176.0,2026-06-30 00:00:00,500000.0,500000.0
Olufela Olomola,2016,England,1997-09-05 00:00:00,Attack,right,170.0,2023-06-30 00:00:00,,
Paul Will,2019,Germany,1999-03-01 00:00:00,Midfield,left,185.0,2024-06-30 00:00:00,500000.0,500000.0
Gautier Larsonneur,2024,France,1997-02-23 00:00:00,Goalkeeper,right,181.0,2026-06-30 00:00:00,4000000.0,8000000.0
Numan Soysal,2017,France,1998-01-31 00:00:00,Goalkeeper,right,186.0,2025-06-30 00:00:00,25000.0,75000.0
Faitout Maouassa,2024,France,1998-07-06 00:00:00,Defender,left,170.0,2025-06-30 00:00:00,4000000.0,13000000.0
Léon Valentin,2018,France,1998-07-30 00:00:00,Defender,right,188.0,,,
Ibrahima Konaté,2024,France,1999-05-25 00:00:00,Defender,right,194.0,2026-06-30 00:00:00,45000000.0,45000000.0
Kazaiah Sterling,2018,England,1998-11-09 00:00:00,Attack,right,175.0,2023-11-30 00:00:00,250000.0,2000000.0
Rodri,2024,Spain,1996-06-22 00:00:00,Midfield,right,191.0,2027-06-30 00:00:00,130000000.0,130000000.0
Alfon González,2024,Spain,1999-05-04 00:00:00,Attack,,172.0,2025-06-30 00:00:00,300000.0,300000.0
Declan Rice,2024,England,1999-01-14 00:00:00,Midfield,right,188.0,2028-06-30 00:00:00,120000000.0,120000000.0
Fernando Calero,2024,Spain,1995-09-14 00:00:00,Defender,right,184.0,2025-06-30 00:00:00,1800000.0,10000000.0
Pablo Fornals,2024,Spain,1996-02-22 00:00:00,Midfield,right,178.0,2029-06-30 00:00:00,14000000.0,30000000.0
Josh Robson,2016,England,1998-02-03 00:00:00,Defender,right,180.0,,100000.0,150000.0
Luis Pérez,2024,Spain,1995-02-04 00:00:00,Defender,right,173.0,2025-06-30 00:00:00,1600000.0,1600000.0
Théo Guivarch,2018,France,1995-11-17 00:00:00,Goalkeeper,right,195.0,2025-06-30 00:00:00,300000.0,750000.0
Bradley Mazikou,2022,France,1996-06-02 00:00:00,Defender,left,177.0,2025-06-30 00:00:00,1000000.0,1500000.0
Issam Ben Khemis,2016,France,1996-01-10 00:00:00,Midfield,left,176.0,,150000.0,400000.0
Mehdi Chahiri,2021,France,1996-07-25 00:00:00,Attack,right,180.0,2023-06-30 00:00:00,700000.0,1500000.0
Alexandre Lavenant,2016,France,1995-03-24 00:00:00,Defender,right,184.0,2024-06-30 00:00:00,,
Jean-Philippe Krasso,2021,Germany,1997-07-17 00:00:00,Attack,left,187.0,2023-06-30 00:00:00,6000000.0,6000000.0
Illies Bruylandts,2014,France,1995-07-03 00:00:00,Attack,,,,50000.0,125000.0
Corentin Koçur,2016,France,1995-10-17 00:00:00,Midfield,right,181.0,,75000.0,200000.0
Carlos Moura,2018,Brazil,1996-07-02 00:00:00,Midfield,left,180.0,,125000.0,175000.0
Cristian Alex,2014,Brazil,1993-12-01 00:00:00,Attack,left,188.0,2023-05-31 00:00:00,125000.0,125000.0
Dennis Jastrzembski,2021,Germany,2000-02-20 00:00:00,Attack,left,180.0,2025-06-30 00:00:00,500000.0,1000000.0
Andrew Nelson,2018,England,1997-09-16 00:00:00,Attack,right,178.0,,200000.0,200000.0
George Cox,2023,England,1998-01-14 00:00:00,Defender,left,171.0,,650000.0,1000000.0
James Tilley,2017,England,1998-06-13 00:00:00,Attack,left,174.0,2024-06-30 00:00:00,250000.0,250000.0
